developer,day,MODIFY
ceilometer - jd - 2012-05-09 11:57:03+02:00,102,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,103,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,104,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,105,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,106,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,107,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,108,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,109,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,110,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,111,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,112,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,113,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,114,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,115,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,116,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,117,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,118,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,119,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,120,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,121,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,122,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,123,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,124,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,125,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,126,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,127,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,128,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,129,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,130,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,131,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,132,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,133,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,134,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,135,5
ceilometer - jd - 2012-05-09 11:57:03+02:00,136,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,137,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,138,5
ceilometer - jd - 2012-05-09 11:57:03+02:00,139,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,140,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,141,16
ceilometer - jd - 2012-05-09 11:57:03+02:00,142,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,143,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,144,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,145,13
ceilometer - jd - 2012-05-09 11:57:03+02:00,146,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,147,1
ceilometer - jd - 2012-05-09 11:57:03+02:00,148,47
ceilometer - jd - 2012-05-09 11:57:03+02:00,149,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,150,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,151,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,152,22
ceilometer - jd - 2012-05-09 11:57:03+02:00,153,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,154,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,155,4
ceilometer - jd - 2012-05-09 11:57:03+02:00,156,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,157,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,158,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,159,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,160,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,161,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,162,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,163,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,164,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,165,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,166,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,167,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,168,4
ceilometer - jd - 2012-05-09 11:57:03+02:00,169,25
ceilometer - jd - 2012-05-09 11:57:03+02:00,170,4
ceilometer - jd - 2012-05-09 11:57:03+02:00,171,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,172,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,173,4
ceilometer - jd - 2012-05-09 11:57:03+02:00,174,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,175,2
ceilometer - jd - 2012-05-09 11:57:03+02:00,176,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,177,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,178,0
ceilometer - jd - 2012-05-09 11:57:03+02:00,179,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,0,1
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,1,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,2,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,3,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,4,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,5,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,6,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,7,16
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,8,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,9,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,10,12
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,11,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,12,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,13,1
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,14,8
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,15,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,16,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,17,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,18,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,19,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,20,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,21,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,22,18
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,23,4
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,24,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,25,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,26,9
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,27,0
ceilometer - dhellmann - 2012-05-15 13:39:56-04:00,28,0
